Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Shazam Counts
162.0,333202114.0,108322.0,41018697.0,68.0,2084532.0,928132.0,63253779.0,748253884.0,735908540.0,148.0,346411.0,146.0,30.0,1277729.0,60.0,4207535.0
161.7,1692951462.0,209490.0,88591675.0,78.0,8795731.0,1212100.0,196608777.0,2054826154.0,56677146.0,99.0,138254.0,37.0,58.0,5211955.0,65.0,6836893.0
153.6,851085705.0,129047.0,50996176.0,70.0,2461166.0,3502547.0,955272568.0,8781020473.0,806434641.0,162.0,223173.0,6243.0,65.0,8655684.0,130.0,2580691.0
153.3,1013350808.0,108036.0,86470319.0,84.0,2521214.0,402338.0,97819766.0,887803828.0,560893301.0,154.0,559589.0,513.0,60.0,2707900.0,61.0,3129609.0
152.1,242070373.0,37170.0,74130983.0,76.0,261664.0,2553106.0,312997953.0,3832221658.0,15593731.0,106.0,370635.0,5999.0,69.0,1792014.0,79.0,2219984.0
150.7,478150858.0,73306.0,51842133.0,78.0,1312763.0,1700998.0,182319546.0,2111289492.0,90954700.0,78.0,35330.0,39.0,56.0,15784760.0,53.0,2255465.0
148.9,251153869.0,16811.0,92985554.0,76.0,961957.0,102884.0,34572688.0,431390500.0,2120552147.0,162.0,180711.0,57.0,127.0,33540073.0,116.0,2047771.0
146.6,1911559785.0,317345.0,87765033.0,78.0,4829633.0,4930490.0,561201008.0,4574447121.0,2077511.0,255.0,296948.0,181.0,138.0,555650.0,28.0,11988760.0
144.5,518988585.0,73116.0,58391498.0,80.0,768813.0,354036.0,74258021.0,924204888.0,103658014.0,117.0,673629.0,59.0,67.0,8306302.0,104.0,3108167.0
142.2,3006226762.0,335880.0,89243475.0,81.0,42240881.0,5745117.0,453132709.0,5876458723.0,276194776.0,226.0,253782.0,388.0,118.0,1138425.0,71.0,21306706.0
141.0,787155930.0,183850.0,58397185.0,77.0,2590835.0,931660.0,95662104.0,836550889.0,3934416606.0,150.0,463665.0,1308.0,32.0,399388.0,69.0,3534164.0
139.5,532605345.0,128534.0,31725858.0,81.0,1237197.0,322900.0,108595670.0,947194801.0,259363238.0,46.0,107637.0,57.0,33.0,1423258.0,40.0,1861958.0
138.6,818858244.0,223609.0,49586777.0,71.0,2756840.0,1610614.0,624748318.0,6890780336.0,3849170813.0,148.0,666615.0,4406.0,37.0,759989.0,77.0,4244972.0
137.8,659010786.0,129923.0,93969186.0,86.0,1990342.0,22100.0,13787343.0,107398826.0,244390161.0,87.0,37314.0,361.0,46.0,2137898.0,38.0,1839283.0
136.2,438796949.0,23959.0,34805394.0,78.0,2202866.0,1223804.0,46080266.0,782582119.0,1337889706.0,56.0,60758.0,959.0,29.0,3457921.0,38.0,865444.0
133.0,1867736006.0,302486.0,82611625.0,76.0,10795292.0,2467227.0,160756733.0,1768836179.0,2069527154.0,329.0,931316.0,1897.0,273.0,3821598.0,85.0,10228436.0
128.9,998964097.0,90793.0,87801398.0,18.0,2108657.0,394640.0,152624014.0,1448207880.0,1111017294.0,173.0,161513.0,93.0,61.0,5239925.0,128.0,4872257.0
127.8,631955547.0,121823.0,45030006.0,74.0,2647341.0,3168854.0,243797561.0,3233505931.0,704906130.0,145.0,122781.0,202.0,74.0,1217657.0,54.0,6121126.0
